###############################################################################
# Effective Area File
# Telescope: WALTZER
# Units: Wavelength [Angstrom], Reflectivity , Dichroic_Eff ,
#        FilterEff , CCD_QE , EffectiveArea_cm2
# Pixel scale: 0.90354
# Secondary obstruction : 15 %
# Notes: FAKE NIR effective area mapped from VIS shape, resampled to 640 rows
# Generated on: 2026-03-03
###############################################################################
Wavelength	Reflectivity	Dichroic_Eff	FilterEff	CCD_QE	EffectiveArea_cm2
9134.9765	0.9121	0.8495	0.8143	0.7964	177.1057
9150.2347	0.9117	0.8493	0.8134	0.7951	176.1154
9165.4930	0.9113	0.8490	0.8125	0.7938	175.0536
9180.7512	0.9107	0.8487	0.8115	0.7922	173.7917
9196.0094	0.9102	0.8483	0.8104	0.7907	172.5280
9211.2676	0.9097	0.8479	0.8094	0.7890	171.2375
9226.5258	0.9091	0.8475	0.8081	0.7872	169.7556
9241.7840	0.9084	0.8470	0.8069	0.7853	168.2717
9257.0423	0.9078	0.8465	0.8057	0.7835	166.7859
9272.3005	0.9073	0.8459	0.8046	0.7818	165.4728
9287.5587	0.9069	0.8453	0.8037	0.7806	164.4897
9302.8169	0.9065	0.8447	0.8029	0.7794	163.5053
9318.0751	0.9060	0.8440	0.8021	0.7781	162.5196
9333.3333	0.9056	0.8433	0.8013	0.7769	161.5584
9348.5915	0.9053	0.8425	0.8005	0.7758	160.6154
9363.8498	0.9049	0.8418	0.7997	0.7746	159.6711
9379.1080	0.9045	0.8409	0.7989	0.7734	158.7255
9394.3662	0.9041	0.8401	0.7983	0.7724	157.9278
9409.6244	0.9041	0.8392	0.7982	0.7723	157.8756
9424.8826	0.9041	0.8382	0.7982	0.7723	157.8233
9440.1408	0.9041	0.8373	0.7981	0.7722	157.7557
9455.3991	0.9040	0.8363	0.7980	0.7721	157.6497
9470.6573	0.9040	0.8352	0.7980	0.7719	157.5437
9485.9155	0.9039	0.8342	0.7979	0.7718	157.4375
9501.1737	0.9040	0.8331	0.7979	0.7719	157.5004
9516.4319	0.9042	0.8320	0.7984	0.7726	158.1045
9531.6901	0.9045	0.8308	0.7989	0.7734	158.7088
9546.9484	0.9047	0.8296	0.7994	0.7741	159.3132
9562.2066	0.9050	0.8284	0.7999	0.7749	159.9180
9577.4648	0.9052	0.8272	0.8005	0.7757	160.5582
9592.7230	0.9055	0.8260	0.8010	0.7765	161.2181
9607.9812	0.9058	0.8247	0.8016	0.7773	161.8788
9623.2394	0.9061	0.8234	0.8021	0.7782	162.5401
9638.4977	0.9064	0.8221	0.8028	0.7792	163.3438
9653.7559	0.9068	0.8207	0.8036	0.7804	164.3507
9669.0141	0.9072	0.8194	0.8045	0.7817	165.3588
9684.2723	0.9077	0.8180	0.8053	0.7830	166.3679
9699.5305	0.9081	0.8166	0.8061	0.7842	167.3782
9714.7887	0.9085	0.8152	0.8070	0.7855	168.3896
9730.0469	0.9089	0.8138	0.8078	0.7868	169.4033
9745.3052	0.9093	0.8124	0.8087	0.7880	170.4279
9760.5634	0.9098	0.8110	0.8095	0.7893	171.4536
9775.8216	0.9102	0.8095	0.8104	0.7906	172.4806
9791.0798	0.9106	0.8081	0.8113	0.7919	173.5086
9806.3380	0.9111	0.8066	0.8121	0.7932	174.5377
9821.5962	0.9115	0.8052	0.8130	0.7945	175.5680
9836.8545	0.9119	0.8037	0.8138	0.7957	176.5995
9852.1127	0.9123	0.8022	0.8147	0.7970	177.6321
9867.3709	0.9128	0.8007	0.8155	0.7983	178.6431
9882.6291	0.9132	0.7993	0.8163	0.7995	179.5953
9897.8873	0.9136	0.7978	0.8171	0.8007	180.5485
9913.1455	0.9140	0.7963	0.8179	0.8019	181.5028
9928.4038	0.9144	0.7948	0.8187	0.8031	182.4581
9943.6620	0.9148	0.7934	0.8195	0.8043	183.4144
9958.9202	0.9152	0.7919	0.8203	0.8055	184.3718
9974.1784	0.9155	0.7905	0.8211	0.8066	185.2827
9989.4366	0.9159	0.7890	0.8218	0.8077	186.1776
10004.6948	0.9162	0.7876	0.8225	0.8087	186.9985
10019.9531	0.9166	0.7862	0.8231	0.8097	187.7268
10035.2113	0.9168	0.7848	0.8237	0.8105	188.4388
10050.4695	0.9171	0.7834	0.8243	0.8114	189.1043
10065.7277	0.9174	0.7820	0.8248	0.8122	189.7694
10080.9859	0.9177	0.7806	0.8254	0.8130	190.4344
10096.2441	0.9180	0.7793	0.8259	0.8139	191.1063
10111.5023	0.9183	0.7779	0.8265	0.8148	191.8374
10126.7606	0.9186	0.7766	0.8271	0.8157	192.5687
10142.0188	0.9189	0.7753	0.8278	0.8166	193.3004
10157.2770	0.9192	0.7740	0.8284	0.8175	194.0324
10172.5352	0.9195	0.7728	0.8290	0.8185	194.7647
10187.7934	0.9198	0.7716	0.8296	0.8194	195.4973
10203.0516	0.9201	0.7704	0.8302	0.8203	196.2303
10218.3099	0.9204	0.7692	0.8308	0.8212	196.9635
10233.5681	0.9206	0.7680	0.8313	0.8219	197.5205
10248.8263	0.9209	0.7669	0.8317	0.8226	198.0669
10264.0845	0.9211	0.7658	0.8322	0.8233	198.6137
10279.3427	0.9213	0.7648	0.8326	0.8240	199.1607
10294.6009	0.9215	0.7637	0.8331	0.8246	199.7079
10309.8592	0.9218	0.7627	0.8335	0.8253	200.2553
10325.1174	0.9220	0.7618	0.8340	0.8260	200.8030
10340.3756	0.9222	0.7608	0.8345	0.8267	201.3508
10355.6338	0.9225	0.7599	0.8349	0.8274	201.8990
10370.8920	0.9227	0.7591	0.8354	0.8281	202.4474
10386.1502	0.9229	0.7582	0.8358	0.8287	202.9959
10401.4085	0.9231	0.7575	0.8363	0.8294	203.5447
10416.6667	0.9234	0.7567	0.8367	0.8301	204.0473
10431.9249	0.9235	0.7560	0.8370	0.8306	204.4582
10447.1831	0.9237	0.7553	0.8374	0.8311	204.8692
10462.4413	0.9239	0.7547	0.8377	0.8316	205.2803
10477.6995	0.9240	0.7541	0.8381	0.8321	205.6916
10492.9577	0.9242	0.7535	0.8384	0.8326	206.1031
10508.2160	0.9244	0.7530	0.8388	0.8331	206.5147
10523.4742	0.9246	0.7525	0.8391	0.8337	206.9266
10538.7324	0.9247	0.7521	0.8394	0.8342	207.3386
10553.9906	0.9249	0.7517	0.8398	0.8347	207.7507
10569.2488	0.9251	0.7513	0.8401	0.8352	208.1630
10584.5070	0.9252	0.7510	0.8405	0.8357	208.5755
10599.7653	0.9254	0.7507	0.8408	0.8362	208.9882
10615.0235	0.9256	0.7505	0.8412	0.8368	209.4010
10630.2817	0.9257	0.7503	0.8415	0.8372	209.7724
10645.5399	0.9259	0.7502	0.8418	0.8376	210.1120
10660.7981	0.9260	0.7501	0.8420	0.8381	210.4515
10676.0563	0.9262	0.7500	0.8423	0.8385	210.7908
10691.3146	0.9263	0.7500	0.8426	0.8389	211.1300
10706.5728	0.9264	0.7500	0.8429	0.8393	211.4691
10721.8310	0.9266	0.7501	0.8432	0.8398	211.8081
10737.0892	0.9267	0.7502	0.8435	0.8402	212.1468
10752.3474	0.9269	0.7504	0.8437	0.8406	212.4855
10767.6056	0.9270	0.7506	0.8440	0.8410	212.7646
10782.8638	0.9271	0.7508	0.8441	0.8412	212.9780
10798.1221	0.9272	0.7511	0.8443	0.8415	213.1915
10813.3803	0.9273	0.7515	0.8445	0.8418	213.4050
10828.6385	0.9273	0.7518	0.8447	0.8420	213.6186
10843.8967	0.9274	0.7523	0.8449	0.8423	213.8324
10859.1549	0.9275	0.7527	0.8450	0.8426	214.0462
10874.4131	0.9276	0.7532	0.8452	0.8428	214.2601
10889.6714	0.9277	0.7538	0.8454	0.8431	214.4740
10904.9296	0.9278	0.7544	0.8456	0.8434	214.6880
10920.1878	0.9279	0.7550	0.8458	0.8436	214.9021
10935.4460	0.9280	0.7556	0.8459	0.8439	215.1163
10950.7042	0.9281	0.7563	0.8461	0.8442	215.3305
10965.9624	0.9281	0.7571	0.8463	0.8444	215.5449
10981.2207	0.9282	0.7578	0.8465	0.8447	215.7588
10996.4789	0.9283	0.7587	0.8466	0.8449	215.9263
11011.7371	0.9284	0.7595	0.8467	0.8451	216.0900
11026.9953	0.9284	0.7604	0.8468	0.8453	216.2034
11042.2535	0.9285	0.7613	0.8469	0.8454	216.2910
11057.5117	0.9285	0.7623	0.8470	0.8455	216.3786
11072.7700	0.9285	0.7632	0.8471	0.8456	216.4660
11088.0282	0.9286	0.7643	0.8471	0.8457	216.5533
11103.2864	0.9286	0.7653	0.8472	0.8458	216.6405
11118.5446	0.9286	0.7664	0.8473	0.8459	216.7148
11133.8028	0.9287	0.7675	0.8473	0.8460	216.7631
11149.0610	0.9287	0.7686	0.8473	0.8460	216.8195
11164.3192	0.9288	0.7698	0.8475	0.8463	217.0161
11179.5775	0.9288	0.7710	0.8477	0.8465	217.2167
11194.8357	0.9289	0.7722	0.8478	0.8468	217.4177
11210.0939	0.9290	0.7734	0.8480	0.8470	217.6186
11225.3521	0.9291	0.7747	0.8482	0.8473	217.8197
11240.6103	0.9292	0.7760	0.8484	0.8475	218.0208
11255.8685	0.9293	0.7773	0.8485	0.8478	218.2221
11271.1268	0.9293	0.7786	0.8487	0.8480	218.4235
11286.3850	0.9294	0.7799	0.8488	0.8482	218.5648
11301.6432	0.9294	0.7813	0.8488	0.8483	218.6127
11316.9014	0.9294	0.7827	0.8489	0.8483	218.6604
11332.1596	0.9295	0.7841	0.8489	0.8484	218.7081
11347.4178	0.9295	0.7855	0.8490	0.8484	218.7557
11362.6761	0.9295	0.7869	0.8490	0.8485	218.8032
11377.9343	0.9295	0.7883	0.8490	0.8485	218.8332
11393.1925	0.9295	0.7897	0.8490	0.8485	218.8260
11408.4507	0.9295	0.7912	0.8490	0.8485	218.8187
11423.7089	0.9295	0.7927	0.8491	0.8486	218.8698
11438.9671	0.9296	0.7941	0.8491	0.8487	218.9394
11454.2254	0.9296	0.7956	0.8492	0.8488	219.0091
11469.4836	0.9296	0.7971	0.8492	0.8488	219.0788
11484.7418	0.9296	0.7985	0.8493	0.8489	219.1485
11500.0000	0.9297	0.8000	0.8493	0.8490	219.2182
11515.2582	0.9297	0.8015	0.8494	0.8491	219.2879
11530.5164	0.9297	0.8029	0.8495	0.8492	219.3576
11545.7746	0.9298	0.8044	0.8495	0.8493	219.4273
11561.0329	0.9298	0.8059	0.8496	0.8494	219.4969
11576.2911	0.9298	0.8073	0.8496	0.8495	219.5666
11591.5493	0.9298	0.8088	0.8497	0.8495	219.6362
11606.8075	0.9299	0.8103	0.8498	0.8496	219.7059
11622.0657	0.9299	0.8117	0.8498	0.8497	219.7755
11637.3239	0.9299	0.8131	0.8499	0.8498	219.8452
11652.5822	0.9300	0.8145	0.8499	0.8499	219.9148
11667.8404	0.9300	0.8159	0.8500	0.8500	219.9845
11683.0986	0.9300	0.8173	0.8500	0.8500	219.9652
11698.3568	0.9300	0.8187	0.8499	0.8499	219.8925
11713.6150	0.9299	0.8201	0.8498	0.8498	219.8198
11728.8732	0.9299	0.8214	0.8498	0.8497	219.7471
11744.1315	0.9299	0.8227	0.8497	0.8496	219.6744
11759.3897	0.9298	0.8240	0.8497	0.8495	219.6017
11774.6479	0.9298	0.8253	0.8496	0.8494	219.5291
11789.9061	0.9298	0.8266	0.8495	0.8493	219.4564
11805.1643	0.9297	0.8278	0.8495	0.8492	219.3838
11820.4225	0.9297	0.8290	0.8495	0.8492	219.3770
11835.6808	0.9297	0.8302	0.8495	0.8492	219.3817
11850.9390	0.9297	0.8314	0.8495	0.8492	219.3864
11866.1972	0.9297	0.8325	0.8495	0.8492	219.3910
11881.4554	0.9297	0.8336	0.8495	0.8492	219.3957
11896.7136	0.9298	0.8347	0.8495	0.8493	219.4003
11911.9718	0.9298	0.8357	0.8495	0.8493	219.4050
11927.2300	0.9298	0.8368	0.8495	0.8493	219.4097
11942.4883	0.9297	0.8377	0.8495	0.8492	219.3976
11957.7465	0.9297	0.8387	0.8494	0.8492	219.3251
11973.0047	0.9297	0.8396	0.8494	0.8491	219.2524
11988.2629	0.9297	0.8405	0.8493	0.8490	219.1620
12003.5211	0.9296	0.8413	0.8492	0.8488	219.0529
12018.7793	0.9296	0.8422	0.8491	0.8487	218.9438
12034.0376	0.9295	0.8429	0.8490	0.8485	218.8121
12049.2958	0.9294	0.8437	0.8489	0.8483	218.6558
12064.5540	0.9294	0.8444	0.8487	0.8481	218.4996
12079.8122	0.9293	0.8450	0.8487	0.8480	218.3882
12095.0704	0.9293	0.8456	0.8486	0.8479	218.3091
12110.3286	0.9293	0.8462	0.8485	0.8478	218.2301
12125.5869	0.9292	0.8468	0.8485	0.8477	218.1510
12140.8451	0.9292	0.8473	0.8484	0.8476	218.0720
12156.1033	0.9292	0.8477	0.8483	0.8475	217.9929
12171.3615	0.9291	0.8482	0.8483	0.8474	217.9139
12186.6197	0.9291	0.8485	0.8482	0.8473	217.8350
12201.8779	0.9291	0.8489	0.8481	0.8472	217.7560
12217.1362	0.9290	0.8492	0.8480	0.8470	217.6045
12232.3944	0.9289	0.8494	0.8479	0.8468	217.4489
12247.6526	0.9289	0.8496	0.8477	0.8466	217.2934
12262.9108	0.9288	0.8498	0.8476	0.8464	217.1380
12278.1690	0.9287	0.8499	0.8475	0.8462	216.9827
12293.4272	0.9287	0.8500	0.8474	0.8460	216.8276
12308.6854	0.9286	0.8500	0.8472	0.8458	216.6725
12323.9437	0.9285	0.8500	0.8471	0.8456	216.5175
12339.2019	0.9285	0.8499	0.8470	0.8455	216.3863
12354.4601	0.9285	0.8498	0.8469	0.8454	216.3077
12369.7183	0.9284	0.8497	0.8469	0.8453	216.2292
12384.9765	0.9284	0.8495	0.8468	0.8452	216.1506
12400.2347	0.9284	0.8493	0.8467	0.8451	216.0721
12415.4930	0.9283	0.8490	0.8467	0.8450	215.9936
12430.7512	0.9283	0.8487	0.8466	0.8449	215.9140
12446.0094	0.9282	0.8483	0.8465	0.8447	215.7982
12461.2676	0.9282	0.8479	0.8464	0.8446	215.6820
12476.5258	0.9282	0.8475	0.8463	0.8445	215.5659
12491.7840	0.9281	0.8470	0.8462	0.8443	215.4498
12507.0423	0.9281	0.8465	0.8461	0.8442	215.3338
12522.3005	0.9280	0.8459	0.8460	0.8440	215.2178
12537.5587	0.9280	0.8453	0.8459	0.8439	215.1018
12552.8169	0.9279	0.8447	0.8458	0.8437	214.9858
12568.0751	0.9279	0.8440	0.8457	0.8436	214.8699
12583.3333	0.9278	0.8433	0.8456	0.8434	214.7540
12598.5915	0.9278	0.8425	0.8455	0.8433	214.6335
12613.8498	0.9277	0.8418	0.8454	0.8430	214.4225
12629.1080	0.9276	0.8409	0.8452	0.8428	214.2096
12644.3662	0.9275	0.8401	0.8450	0.8425	213.9968
12659.6244	0.9274	0.8392	0.8448	0.8422	213.7842
12674.8826	0.9273	0.8382	0.8446	0.8420	213.5718
12690.1408	0.9272	0.8373	0.8445	0.8417	213.3596
12705.3991	0.9271	0.8363	0.8443	0.8414	213.1475
12720.6573	0.9271	0.8352	0.8441	0.8412	212.9356
12735.9155	0.9270	0.8342	0.8440	0.8409	212.7549
12751.1737	0.9269	0.8331	0.8438	0.8408	212.6193
12766.4319	0.9269	0.8320	0.8437	0.8406	212.4839
12781.6901	0.9268	0.8308	0.8436	0.8404	212.3485
12796.9484	0.9268	0.8296	0.8435	0.8403	212.2131
12812.2066	0.9267	0.8284	0.8434	0.8401	212.0778
12827.4648	0.9266	0.8272	0.8433	0.8399	211.9425
12842.7230	0.9266	0.8260	0.8432	0.8398	211.8073
12857.9812	0.9265	0.8247	0.8431	0.8396	211.6722
12873.2394	0.9264	0.8234	0.8429	0.8393	211.4796
12888.4977	0.9264	0.8221	0.8427	0.8391	211.2701
12903.7559	0.9263	0.8207	0.8426	0.8388	211.0609
12919.0141	0.9262	0.8194	0.8424	0.8386	210.8517
12934.2723	0.9261	0.8180	0.8422	0.8383	210.6436
12949.5305	0.9260	0.8166	0.8420	0.8380	210.4381
12964.7887	0.9259	0.8152	0.8419	0.8378	210.2328
12980.0469	0.9258	0.8138	0.8417	0.8375	210.0276
12995.3052	0.9258	0.8124	0.8415	0.8373	209.8225
13010.5634	0.9257	0.8110	0.8413	0.8370	209.6177
13025.8216	0.9256	0.8095	0.8412	0.8368	209.4129
13041.0798	0.9253	0.8081	0.8407	0.8360	208.8028
13056.3380	0.9247	0.8066	0.8395	0.8342	207.3966
13071.5962	0.9242	0.8052	0.8383	0.8325	205.9923
13086.8545	0.9236	0.8037	0.8372	0.8307	204.5898
13102.1127	0.9230	0.8022	0.8360	0.8290	203.1892
13117.3709	0.9224	0.8007	0.8348	0.8273	201.8049
13132.6291	0.9219	0.7993	0.8337	0.8256	200.4902
13147.8873	0.9213	0.7978	0.8327	0.8240	199.2118
13163.1455	0.9208	0.7963	0.8316	0.8224	197.9341
13178.4038	0.9203	0.7948	0.8305	0.8208	196.6573
13193.6620	0.9198	0.7934	0.8297	0.8195	195.5804
13208.9202	0.9196	0.7919	0.8292	0.8188	195.0312
13224.1784	0.9194	0.7905	0.8287	0.8181	194.4824
13239.4366	0.9191	0.7890	0.8283	0.8174	193.9339
13254.6948	0.9189	0.7876	0.8278	0.8167	193.3857
13269.9531	0.9187	0.7862	0.8273	0.8160	192.7794
13285.2113	0.9184	0.7848	0.8268	0.8152	192.1648
13300.4695	0.9181	0.7834	0.8263	0.8144	191.5510
13315.7277	0.9179	0.7820	0.8258	0.8137	190.9380
13330.9859	0.9176	0.7806	0.8253	0.8129	190.3256
13346.2441	0.9174	0.7793	0.8249	0.8123	189.8396
13361.5023	0.9174	0.7779	0.8249	0.8123	189.8521
13376.7606	0.9174	0.7766	0.8249	0.8123	189.8644
13392.0188	0.9174	0.7753	0.8249	0.8123	189.8765
13407.2770	0.9175	0.7740	0.8249	0.8124	189.8886
13422.5352	0.9175	0.7728	0.8249	0.8124	189.9006
13437.7934	0.9175	0.7716	0.8249	0.8124	189.9124
13453.0516	0.9175	0.7704	0.8249	0.8124	189.9241
13468.3099	0.9175	0.7692	0.8249	0.8124	189.9356
13483.5681	0.9175	0.7680	0.8250	0.8124	189.9470
13498.8263	0.9175	0.7669	0.8250	0.8124	189.9583
13514.0845	0.9175	0.7658	0.8250	0.8124	189.9445
13529.3427	0.9175	0.7648	0.8249	0.8124	189.9229
13544.6009	0.9175	0.7637	0.8249	0.8124	189.9011
13559.8592	0.9175	0.7627	0.8249	0.8124	189.9170
13575.1174	0.9175	0.7618	0.8250	0.8125	190.0063
13590.3756	0.9175	0.7608	0.8251	0.8126	190.0952
13605.6338	0.9176	0.7599	0.8252	0.8127	190.1837
13620.8920	0.9176	0.7591	0.8252	0.8128	190.2718
13636.1502	0.9176	0.7582	0.8253	0.8129	190.3596
13651.4085	0.9177	0.7575	0.8254	0.8131	190.4480
13666.6667	0.9177	0.7567	0.8255	0.8132	190.5983
13681.9249	0.9178	0.7560	0.8256	0.8134	190.7519
13697.1831	0.9179	0.7553	0.8258	0.8136	190.9053
13712.4413	0.9179	0.7547	0.8259	0.8138	191.0584
13727.6995	0.9180	0.7541	0.8260	0.8140	191.2075
13742.9577	0.9180	0.7535	0.8260	0.8141	191.2525
13758.2160	0.9180	0.7530	0.8261	0.8141	191.2931
13773.4742	0.9181	0.7525	0.8261	0.8142	191.3336
13788.7324	0.9181	0.7521	0.8261	0.8142	191.3523
13803.9906	0.9181	0.7517	0.8261	0.8142	191.3254
13819.2488	0.9180	0.7513	0.8261	0.8141	191.2984
13834.5070	0.9180	0.7510	0.8261	0.8141	191.2712
13849.7653	0.9180	0.7507	0.8260	0.8141	191.2439
13865.0235	0.9180	0.7505	0.8260	0.8140	191.2163
13880.2817	0.9180	0.7503	0.8260	0.8140	191.1887
13895.5399	0.9180	0.7502	0.8260	0.8140	191.1609
13910.7981	0.9180	0.7501	0.8259	0.8139	191.1330
13926.0563	0.9180	0.7500	0.8259	0.8139	191.1050
13941.3146	0.9179	0.7500	0.8259	0.8138	191.0767
13956.5728	0.9179	0.7500	0.8259	0.8138	191.0483
13971.8310	0.9179	0.7501	0.8258	0.8137	190.9882
13987.0892	0.9178	0.7502	0.8257	0.8135	190.8300
14002.3474	0.9178	0.7504	0.8256	0.8133	190.6719
14017.6056	0.9177	0.7506	0.8254	0.8131	190.5138
14032.8638	0.9176	0.7508	0.8253	0.8129	190.3559
14048.1221	0.9176	0.7511	0.8252	0.8127	190.1980
14063.3803	0.9175	0.7515	0.8250	0.8126	190.0403
14078.6385	0.9175	0.7518	0.8249	0.8124	189.8827
14093.8967	0.9174	0.7523	0.8248	0.8122	189.7251
14109.1549	0.9173	0.7527	0.8246	0.8120	189.5676
14124.4131	0.9173	0.7532	0.8245	0.8118	189.4102
14139.6714	0.9172	0.7538	0.8244	0.8116	189.2528
14154.9296	0.9171	0.7544	0.8242	0.8114	189.0956
14170.1878	0.9171	0.7550	0.8241	0.8112	188.9385
14185.4460	0.9170	0.7556	0.8240	0.8110	188.7814
14200.7042	0.9169	0.7563	0.8238	0.8108	188.6110
14215.9624	0.9168	0.7571	0.8237	0.8105	188.4364
14231.2207	0.9168	0.7578	0.8236	0.8103	188.2620
14246.4789	0.9167	0.7587	0.8234	0.8101	188.0876
14261.7371	0.9166	0.7595	0.8233	0.8099	187.9133
14276.9953	0.9166	0.7604	0.8231	0.8097	187.7392
14292.2535	0.9165	0.7613	0.8230	0.8095	187.5652
14307.5117	0.9164	0.7623	0.8228	0.8092	187.3913
14322.7700	0.9163	0.7632	0.8227	0.8090	187.2175
14338.0282	0.9163	0.7643	0.8225	0.8088	187.0438
14353.2864	0.9162	0.7653	0.8224	0.8086	186.8703
14368.5446	0.9161	0.7664	0.8222	0.8084	186.6969
14383.8028	0.9160	0.7675	0.8221	0.8081	186.5100
14399.0610	0.9159	0.7686	0.8219	0.8078	186.2490
14414.3192	0.9158	0.7698	0.8217	0.8075	185.9884
14429.5775	0.9157	0.7710	0.8214	0.8072	185.7280
14444.8357	0.9156	0.7722	0.8212	0.8068	185.4679
14460.0939	0.9155	0.7734	0.8210	0.8065	185.2081
14475.3521	0.9154	0.7747	0.8208	0.8062	184.9486
14490.6103	0.9153	0.7760	0.8205	0.8058	184.6486
14505.8685	0.9151	0.7773	0.8203	0.8054	184.3434
14521.1268	0.9150	0.7786	0.8200	0.8050	184.0385
14536.3850	0.9149	0.7799	0.8198	0.8047	183.7340
14551.6432	0.9148	0.7813	0.8195	0.8043	183.4298
14566.9014	0.9146	0.7827	0.8193	0.8039	183.1261
14582.1596	0.9145	0.7841	0.8190	0.8035	182.8162
14597.4178	0.9144	0.7855	0.8188	0.8031	182.5017
14612.6761	0.9142	0.7869	0.8185	0.8027	182.1876
14627.9343	0.9141	0.7883	0.8182	0.8023	181.8738
14643.1925	0.9140	0.7897	0.8180	0.8020	181.5605
14658.4507	0.9139	0.7912	0.8177	0.8016	181.2475
14673.7089	0.9137	0.7927	0.8174	0.8012	180.9350
14688.9671	0.9136	0.7941	0.8172	0.8008	180.6228
14704.2254	0.9135	0.7956	0.8169	0.8004	180.3111
14719.4836	0.9133	0.7971	0.8167	0.8000	179.9998
14734.7418	0.9132	0.7985	0.8164	0.7996	179.6888
14750.0000	0.9131	0.8000	0.8161	0.7992	179.3783
14765.2582	0.9129	0.8015	0.8159	0.7988	179.0682
14780.5164	0.9128	0.8029	0.8156	0.7984	178.7584
14795.7746	0.9127	0.8044	0.8154	0.7981	178.4490
14811.0329	0.9126	0.8059	0.8151	0.7977	178.1401
14826.2911	0.9124	0.8073	0.8149	0.7973	177.8316
14841.5493	0.9123	0.8088	0.8146	0.7969	177.5234
14856.8075	0.9122	0.8103	0.8143	0.7965	177.2157
14872.0657	0.9120	0.8117	0.8141	0.7961	176.9083
14887.3239	0.9119	0.8131	0.8138	0.7958	176.6014
14902.5822	0.9118	0.8145	0.8136	0.7954	176.2948
